cfile,BestSansPip,OracleEP,Diff,EPConfiguration,Index
557.xz+liblzma_common_vli_encoder.c,20830.56,8425.6,12404.960000000001,EP_Solver=Naive,213.0
525.x264+x264_src_common_vlc.c,20866.18,17004.0,3862.1800000000003,EP_Solver=Naive,214.0
526.blender+blender_source_blender_modifiers_intern_MOD_meshcache_util.c,21319.46,12446.6,8872.859999999999,EP_Solver=Naive,219.0
557.xz+liblzma_common_block_util.c,21676.28,19793.8,1882.4799999999996,EP_Solver=Naive,224.0
557.xz+liblzma_simple_simple_encoder.c,22968.94,12856.2,10112.739999999998,EP_Solver=Naive,251.0
502.gcc+spaces.c,23203.48,9840.4,13363.08,EP_Solver=Naive,255.0
507.cactuBSSN+Cactus_main_SetupCache.c,25106.54,22717.2,2389.34,EP_Solver=Naive,285.0
557.xz+liblzma_common_vli_decoder.c,25427.18,13493.2,11933.98,EP_Solver=Naive,290.0
505.mcf+pbla.c,31960.32,14902.2,17058.12,EP_Solver=Naive,365.0
526.blender+blender_extern_wcwidth_wcwidth.c,33392.06,19798.4,13593.659999999996,EP_Solver=Naive,389.0
505.mcf+pstart.c,35491.24,15409.4,20081.839999999997,EP_Solver=Naive,405.0
544.nab+chirvol.c,36561.58,17901.0,18660.58,EP_Solver=Naive,413.0
526.blender+zlib_adler32.c,41914.0,23615.0,18299.0,EP_Solver=Naive,461.0
502.gcc+sort.c,43817.78,24100.0,19717.78,EP_Solver=Naive,473.0
557.xz+liblzma_simple_ia64.c,49845.38,38786.6,11058.779999999999,EP_Solver=Naive,497.0
557.xz+liblzma_lzma_lzma_encoder_optimum_fast.c,68872.32,60489.6,8382.720000000008,EP_Solver=Naive,588.0
505.mcf+treeup.c,82056.68,37243.8,44812.87999999999,EP_Solver=Naive,634.0
502.gcc+bid2dpd_dpd2bid.c,82644.02,62218.8,20425.22,EP_Solver=Naive,637.0
526.blender+zlib_inffast.c,122635.48,94877.2,27758.28,EP_Solver=Naive,759.0
526.blender+blender_source_blender_blenlib_intern_md5.c,142834.72,117856.2,24978.520000000004,EP_Solver=Naive,811.0
526.blender+zlib_inftrees.c,148011.38,69095.8,78915.58,EP_Solver=Naive,821.0
505.mcf+spec_qsort_spec_qsort.c,166060.4,107216.6,58843.79999999999,EP_Solver=Naive,863.0
502.gcc+spec_qsort_spec_qsort.c,166954.12,104645.6,62308.51999999999,EP_Solver=Naive,864.0
557.xz+liblzma_lzma_lzma_encoder_optimum_normal.c,529560.28,491158.0,38402.28000000003,EP_Solver=Naive,1273.0
507.cactuBSSN+LocalReduce_CountFunctions.c,14361594.08,9753971.0,4607623.08,EP_Solver=Naive,1930.0
507.cactuBSSN+LocalReduce_SumFunctions.c,14508348.68,11760615.2,2747733.4800000004,EP_Solver=Naive,1932.0
507.cactuBSSN+LocalReduce_AvgFunctions.c,14592960.34,12813848.6,1779111.7400000002,EP_Solver=Naive,1933.0
507.cactuBSSN+LocalReduce_MaxFunctions.c,20267264.0,15616001.0,4651263.0,EP_Solver=Naive,1937.0
507.cactuBSSN+LocalReduce_Norm2Functions.c,20466055.84,17244542.4,3221513.4400000013,EP_Solver=Naive,1938.0
507.cactuBSSN+LocalReduce_Norm3Functions.c,20593497.9,15379458.8,5214039.099999998,EP_Solver=Naive,1939.0
507.cactuBSSN+LocalReduce_Norm1Functions.c,20598615.26,15209523.6,5389091.660000002,EP_Solver=Naive,1940.0
507.cactuBSSN+LocalReduce_MinFunctions.c,20652981.42,15527025.4,5125956.020000001,EP_Solver=Naive,1941.0
507.cactuBSSN+LocalReduce_Norm4Functions.c,20936974.0,17706641.2,3230332.8000000007,EP_Solver=Naive,1944.0
507.cactuBSSN+LocalReduce_NormInfFunctions.c,20962591.5,16259486.6,4703104.9,EP_Solver=Naive,1945.0
502.gcc+cp-demangle.c,31777097.94,28579707.4,3197390.540000003,EP_OVS_Solver=Worklist_Policy=LeastRecentlyFired_HybridCD,1955.0
502.gcc+insn-attrtab.c,146687176.86,54260343.6,92426833.26000002,EP_OVS_Solver=Worklist_Policy=TwoPhaseLeastRecentlyFired_OnlineCD,1963.0
