cfile,BestSansPip,OracleEP,Diff,EPConfiguration,Index
507.cactuBSSN+CactusBindings_Parameters_PUGHReduce_Parameters.c,2927.78,1342.88,1584.9,EP_Solver=Naive,73.0
507.cactuBSSN+CactusBindings_Parameters_ADMCoupling_Parameters.c,2950.88,1301.08,1649.8000000000002,EP_Solver=Naive,74.0
557.xz+xz_args.c,2959.54,959.3,2000.24,EP_Solver=Naive,75.0
507.cactuBSSN+CactusBindings_Parameters_PUGHInterp_Parameters.c,3122.22,1342.66,1779.5599999999997,EP_Solver=Naive,77.0
538.imagick+magick_static.c,3174.6,1328.28,1846.32,EP_Solver=Naive,78.0
526.blender+blender_source_blender_blenfont_intern_blf_util.c,3179.8,2063.86,1115.94,EP_Solver=Naive,79.0
557.xz+xz_signals.c,3286.58,1790.1,1496.48,EP_Solver=Naive,80.0
507.cactuBSSN+PUGH_PostSendGA.c,3301.38,1112.62,2188.76,EP_Solver=Naive,81.0
emacs-29.4+lib_openat-die.c,3329.6,1354.9,1974.6999999999998,EP_Solver=Naive,82.0
emacs-29.4+lib_allocator.c,3403.06,2264.06,1139.0,EP_Solver=Naive,83.0
507.cactuBSSN+PUGH_PostReceiveGA.c,3439.0,1244.28,2194.7200000000003,EP_Solver=Naive,84.0
ghostscript-10.04.0+leptonica_src_libversions.c,3444.94,895.96,2548.98,EP_Solver=Naive,85.0
emacs-29.4+lib_file-has-acl.c,3470.6,1739.74,1730.86,EP_Solver=Naive,86.0
557.xz+common_tuklib_exit.c,3528.46,1218.76,2309.7,EP_Solver=Naive,87.0
557.xz+xz_main.c,3532.3,1439.06,2093.2400000000002,EP_Solver=Naive,88.0
507.cactuBSSN+PUGH_FinishReceiveGA.c,3549.96,1266.06,2283.9,EP_Solver=Naive,89.0
gdb-15.2+libiberty_stack-limit.c,3559.48,1901.02,1658.46,EP_Solver=Naive,90.0
526.blender+blender_source_blender_bmesh_operators_bmo_smooth_laplacian.c,3584.76,1721.28,1863.4800000000002,EP_Solver=Naive,91.0
502.gcc+host-linux.c,3657.52,2709.56,947.96,EP_Solver=Naive,92.0
ghostscript-10.04.0+psi_inouparm.c,3693.42,1746.08,1947.3400000000001,EP_Solver=Naive,93.0
557.xz+liblzma_common_easy_decoder_memusage.c,3702.28,3262.3,439.98,EP_Solver=Naive,94.0
557.xz+common_tuklib_progname.c,3841.32,3196.0,645.3200000000002,EP_Solver=Naive,95.0
gdb-15.2+libiberty_setproctitle.c,3864.8,2339.3,1525.5,EP_Solver=Naive,96.0
557.xz+liblzma_common_vli_size.c,3905.28,1544.46,2360.82,EP_Solver=Naive,97.0
emacs-29.4+lib_binary-io.c,3954.86,2120.58,1834.2800000000002,EP_Solver=Naive,98.0
emacs-29.4+lib_dtotimespec.c,4088.48,2068.82,2019.6599999999999,EP_Solver=Naive,99.0
507.cactuBSSN+Cactus_main_DefaultTimers.c,4154.9,1610.7,2544.2,EP_Solver=Naive,100.0
gdb-15.2+libiberty_fdmatch.c,4230.66,1863.56,2367.1,EP_Solver=Naive,101.0
526.blender+blender_source_blender_gpu_intern_gpu_init_exit.c,4299.38,2101.14,2198.2400000000002,EP_Solver=Naive,102.0
gdb-15.2+readline_readline_xfree.c,4304.54,2162.54,2142.0,EP_Solver=Naive,103.0
557.xz+liblzma_common_easy_encoder_memusage.c,4509.94,3752.46,757.4799999999996,EP_Solver=Naive,104.0
ghostscript-10.04.0+psi_inobtokn.c,4572.28,2640.64,1931.6399999999999,EP_Solver=Naive,105.0
502.gcc+main.c,4612.2,2707.82,1904.3799999999997,EP_Solver=Naive,106.0
sendmail-8.18.1+sendmail_udb.c,4734.98,2667.52,2067.4599999999996,EP_Solver=Naive,107.0
gdb-15.2+gnulib_import_hard-locale.c,4765.0,2247.24,2517.76,EP_Solver=Naive,108.0
gdb-15.2+libiberty_xexit.c,4852.24,3880.18,972.06,EP_Solver=Naive,109.0
502.gcc+xexit.c,4903.68,3985.2,918.4800000000005,EP_Solver=Naive,110.0
ghostscript-10.04.0+freetype_src_psaux_pserror.c,4906.66,2254.48,2652.18,EP_Solver=Naive,111.0
502.gcc+lrealpath.c,4915.04,3023.2,1891.8400000000001,EP_Solver=Naive,112.0
ghostscript-10.04.0+psi_zncdummy.c,4985.6,4488.96,496.6400000000003,EP_Solver=Naive,113.0
gdb-15.2+gnulib_import_count-one-bits.c,5149.24,2310.3,2838.9399999999996,EP_Solver=Naive,114.0
502.gcc+fdmatch.c,5165.94,2153.82,3012.1199999999994,EP_Solver=Naive,115.0
gdb-15.2+gnulib_import_fd-safer.c,5230.02,3768.9,1461.1200000000003,EP_Solver=Naive,116.0
gdb-15.2+gnulib_import_openat-die.c,5240.16,2712.24,2527.92,EP_Solver=Naive,117.0
sendmail-8.18.1+libsm_memstat.c,5307.46,4017.4,1290.06,EP_Solver=Naive,118.0
507.cactuBSSN+PUGHInterp_Startup.c,5324.82,2269.94,3054.8799999999997,EP_Solver=Naive,119.0
ghostscript-10.04.0+freetype_src_lzw_ftlzw.c,5325.54,2603.2,2722.34,EP_Solver=Naive,120.0
gdb-15.2+gnulib_import_cloexec.c,5348.32,2811.86,2536.4599999999996,EP_Solver=Naive,121.0
502.gcc+auto-inc-dec.c,5394.36,3864.9,1529.4599999999996,EP_Solver=Naive,122.0
gdb-15.2+gnulib_import_fd-safer-flag.c,5411.02,4391.58,1019.4400000000005,EP_Solver=Naive,123.0
507.cactuBSSN+Cactus_main_CactusDefaultMainLoopIndex.c,5515.78,2398.3,3117.4799999999996,EP_Solver=Naive,124.0
emacs-29.4+lib_count-leading-zeros.c,5564.8,2546.9,3017.9,EP_Solver=Naive,125.0
gdb-15.2+libiberty_physmem.c,5605.2,3150.18,2455.02,EP_Solver=Naive,126.0
502.gcc+physmem.c,5874.48,3151.38,2723.0999999999995,EP_Solver=Naive,127.0
526.blender+blender_source_blender_editors_space_script_script_ops.c,5913.3,3812.36,2100.94,EP_Solver=Naive,128.0
557.xz+common_tuklib_mbstr_fw.c,5973.5,3581.84,2391.66,EP_Solver=Naive,129.0
ghostscript-10.04.0+base_gp_upapr.c,5990.72,3362.32,2628.4,EP_Solver=Naive,130.0
emacs-29.4+lib_count-one-bits.c,6160.24,2327.4,3832.8399999999997,EP_Solver=Naive,131.0
502.gcc+unlink-if-ordinary.c,6246.68,4368.56,1878.12,EP_Solver=Naive,132.0
ghostscript-10.04.0+freetype_src_base_ftpatent.c,6268.44,4439.88,1828.5599999999995,EP_Solver=Naive,133.0
502.gcc+filename_cmp.c,6350.52,4227.06,2123.46,EP_Solver=Naive,135.0
gdb-15.2+libiberty_unlink-if-ordinary.c,6366.48,4434.22,1932.2599999999993,EP_Solver=Naive,136.0
emacs-29.4+lib_count-trailing-zeros.c,6518.64,2482.2,4036.4400000000005,EP_Solver=Naive,137.0
ghostscript-10.04.0+psi_zchar2.c,6601.84,6161.96,439.8800000000001,EP_Solver=Naive,138.0
ghostscript-10.04.0+base_gp_nxpsprn.c,6657.2,3738.78,2918.4199999999996,EP_Solver=Naive,140.0
emacs-29.4+lib_get-permissions.c,6717.76,4574.06,2143.7,EP_Solver=Naive,142.0
526.blender+spec_glcorearb.c,6724.72,5472.54,1252.1800000000003,EP_Solver=Naive,143.0
sendmail-8.18.1+libsm_vprintf.c,6736.22,4689.1,2047.12,EP_Solver=Naive,144.0
ghostscript-10.04.0+base_scfetab.c,6858.46,2199.96,4658.5,EP_Solver=Naive,146.0
557.xz+common_tuklib_mbstr_width.c,7037.24,4270.62,2766.62,EP_Solver=Naive,147.0
emacs-29.4+lib_gettime.c,7103.34,5768.64,1334.6999999999998,EP_Solver=Naive,148.0
emacs-29.4+lib_timespec.c,7430.22,3504.62,3925.6000000000004,EP_Solver=Naive,149.0
ghostscript-10.04.0+lcms2mt_src_cmshalf.c,7581.4,2290.44,5290.959999999999,EP_Solver=Naive,150.0
557.xz+liblzma_common_easy_encoder.c,7686.98,7507.98,179.0,EP_Solver=Naive,151.0
gdb-15.2+gnulib_import_localcharset.c,7772.38,4726.18,3046.2,EP_Solver=Naive,152.0
